date,station,site,max_depth_m,min_depth_m,depth_categories,assoc_habitats,rugosity,habitat_notes
2015-03-14,quirind2,quirindi,12,11,mid-depth,coral,2,"Low relief 20 degree slope with a range of LC species including Acropora plates and small massives. Soft coral common, silty sand and rock bottom in places. A ridge of medium relief at 10-12m. Areas of rubble and sand, some looks like storm damage. Reef ends at 13-14m on sand with scattered rubble. "
2015-03-15,tekamajn1,tekamajin,16,5,high_range_deep,sand,2,"Reef plateau of northern fore reef slope at 4-5m depth with many sand channels and open sand areas; live coral as massive growth forms and small Acropora, DC and SC common and bare rock. Digitate Porites also common. Then drops at 6m to a slope of rubble and extensive banks of Galaxea which extend to 14-17m depth. "
2015-03-15,tekamajn2,tekamajin,6.5,5,shallow,sand,2,"Protected back reef facing west towards Palma. Shallow lagoon like coral garden dominated by large areas of staghorn Acropora, relatively high LC, occasional large Acropora plates and areas of sand in 5-6m. Fire coral also common in large mounds. Large areas of staghorn rubble – looks like storm damage. Rubble in places quite consolidated with CCA. "
2015-10-03,ch_mvundeni,ch_mvundeni,17,12,deep,,NA,"Offshore deep reef with plateau at 12-17m, then slopes gently to sand, rubble, rock and algae bottom at 21m. Very low rugosity  reef. Occasional sponges, occasional small Millepora, Halimeda common."
2015-10-04,ch_rubu,ch_rubu,10,8,mid-depth,,NA,"Offshore plateau with top at 8-10m. Did not manage to find the slope. Very low rugosity rocky reef with algae, some sand. Encrusting Montipora, some small Acropora heads, sponges."
2015-10-04,kui,kui,4,1,shallow,,NA,"Inner reef inside Kui bay opposite mlango. Runs parallel to shore – narrow fringe of very high rugosity Porites bommies. And one strip runs towards shore. Many dead bommies, but some live. High silt load, Halimeda common. Seagrass and sand surrounds the strip."
2015-10-05,kui,kupi,4,0.5,shallow,,NA,"Very narrow fringe of corals inside Kui bay in channel running south near small fossil rock islands. High live coral cover and diversity in patches. High rugosity. Large Porites bommies, some dead. Silt high."
2015-10-05,mongo_shariff,mongo_shariff,20,10,deep,,NA,"Plateau at ~10m with occasional small Acropora. Slopes at ~30 degrees from 15-20m. Rocky slope with  ledges so moderate rugosity in places – patchy, mostly low rugosity. High cover of Halimeda, some sponges, silty. Bottom at 20m of rock, sand and turf algae."
2015-10-06,shimo_la_tewa,shimo_la_tewa,5,5,shallow,,NA,"Shallow fringe of reef outside small fossil coral island off southern end of Kiwaiyu Island. Seagrass surrounds the reef. High coral cover and diversity. Some large Porites bommies, CCA. High rugosity in most places, some flat areas with low coral cover, Turbinaria algae common in patches.Sand and seagrass on deeper side at 5m."
2014-09-13,mm14_01_01,musha_nw,16,3,,,NA,"slope to sand at 16m, small massives, high algae & dead coral <5m, v. silty"
2014-09-14,mm14_02_01,ankali,22,10,,,NA,"Ankali Outer: submerged bank, reef slope to >20m. Large Porites & other massives domiante slope, highrelief; + Pocillopora, some large Acrp. Plates & stags. Gentle slope w rich coral growth, some DC."
2014-09-14,mm14_02_02,ankali,13,9,,,NA,"Ankali Inner: top of bank, shallow, flat bottom massive corals with sand patches, good coral diversity"
2014-09-14,mm14_01_02,musha_nw,16,8,,,NA,"short slope to sand at 16m; lots DC and silt, <5m all algae & DC"
2014-09-15,mm14_03_01,musha_e,7,3,,,NA,"Shallow (1-8m) patch reef on sand with high relief Porites lobata and banks of Pocillopora, + Acropora plates. Large areas of Stypodium algae growing between coral heads, also Dictyota. One long dive for whole site.

"
2014-09-16,ob14_01_01,obock_outer,15,5,,,NA,"Outer reef edge just north of the small town of Obock. Rich coral growth, diversity, medium to high relief, many massives and encrusting corals. Fish abundant, schools of scarids, snapper, Caesio & large sized and varied groupers."
2014-09-16,ob14_01_02,obock_outer,17,7,,,NA,"Outer reef edge just north of the small town of Obock. Steep slope, Rich coral growth, diversity, medium to high relief, many massives and encrusting corals; some silt, and Millepora. Fish abundant, schools of scarids, snapper, Caesio & chaetodons."
2014-09-17,ob14_02_01,obock_inner,7,3,,,NA,"Coral garden inside lagoon. Some good coral cover and diversity on flat areas of sand, very silty poor viz."
2014-09-17,ob14_02_02,obock_inner,10,4,,,NA,"Coral garden inside lagoon. Some good coral cover and diversity on flat areas of sand, very silty poor viz."
2014-09-18,tn14_02_01,daley,10,4,,,NA,"Daley: Narrow reef slope fringing the coastline, drops to sand at 5-10m, very silty, visibility 6m. Porites columnar form common, and dominates, some other LC, a lot of DC and a lot of encrusting algae, especially on top of reef at 3-4 m."
2014-09-18,tn14_02_02,daley,8,3,,,NA,"Daley: Narrow reef slope fringing the coastline, drops to sand at 5-10m, very silty, visibility 6m. Porites columnar form common, and dominates, some other LC, a lot of DC and a lot of encrusting algae, especially on top of reef at 3-4 m."
2014-09-19,tn14_01_01,ras_douan_sable_blanc,17,4,,,NA,"Ras Douan:Forereef slope drops from a plateau at 4-6 m, with large massives, mainly Porites, both massive and encrusing. Fairly steep slope with sand patches, lots of dead coral and some rubble; several black corals – whips and fragile Antipatheria fans. Silty. Reef ends on sandy slope at 19-20 m. "
2014-09-19,tn14_01_02,ras_douan_sable_blanc,16,5,,,NA,"Sable Blanc: Forereef slope. A lot of rubble on the shallow plateau at 2-4 m and some encrusting algae and some massives and Acropora. Reed edge at around 7m, then drops quite steeply with large massives, high coral cover, mainly Porites, both massive and encrusing, and drops to sandy slope at 23-25 m where the reef ends. More dead coral at depth. Silty. "
2014-09-20,ts14_02_01,khorambado_dorale,8,2,,,NA,"Khorambado: narrow fringing reef slope, low-medium relief, dropping to sand at 6-7m. Very turbid, with high levels of suspended sediment. High levels of rubble, dead coral and sand patches. Encrusting brown algae common. Top of reef with high cover of Sargassum. Some live Porites bommies and other small LC heads."
2014-09-20,ts14_02_02,khorambado_dorale,13,2,,,NA,"Dorale:Narrow fringing reef slope, low-medium relief,  some algae and sand patches, dropping to sand at 14-15m with scattered coral heads continuing down slope. Top of reef with high cover of Sargassum. Very turbid. Towards the point large Porites heads in 2-5m full of Lutjanus fulviflamma, Kyphosids, very large L. bohar and one Ch. undulatus. Some fishing line, some Antipatheria, some sponges.

"
2014-09-21,ts14_01_01,manta_point,14,4,,,NA,"Reef slope with high coral cover, mainly Acropora, some very large plates, medium to low relief dropping to sand slope at > 26m.  At depth calcareous algae. Reef formed in spurs with wide sand areas between."
2014-09-21,ts14_01_02,manta_point,14,3,,,NA,"Reef slope with high coral cover, mainly Acropora, some very large plates, encrusting corals, high LC cover, medium relief dropping to sand slope at 45 degrees at around 18m. Reef plateau at 1.5-3 m all hard coral – live (Pocillopora and Porites) or dead.  "
2014-09-22,tn14_03_01,kalaf,8,3,,,NA,"Narrow fringing reef slope drops to sand at 7-8m. Suspended sediment in water, poor viz (6-7m). High LC at <5m with extensive banks of Pavona, some Galaxea banks. Platax, Kyphosids and Carangids."
2014-09-22,tn14_03_02,kalaf,6,2,,,NA,"Narrow fringing reef slope drops to sand at 7-8m. Suspended sediment in water, poor viz (6-7m). High LC at <5m with extensive banks of Pavona, some Galaxea banks. Platax, Kyphosids and Carangids."
2014-09-23,gb14_01_01,pte_gabrielle_parrot_is,7,1,,,NA,"Pt. Gabrielle - Rock and boulder wall with corals, no accretion. Sand at 10m, almost flat with Favids and very small Acropora heads. Large Porites bommies off the wall on sand. "
2014-09-23,gb14_01_02,pte_gabrielle_parrot_is,8,2,,,NA,"Parrot Island: Rock wall with corals and scattered boulders also with corals; no accretion. Some enormous Acropora plates especially in 3-8m; some dead. Sand bottom with some silt, slopes gently with scattered small coral heads eg Millepora and Acropora."
2014-09-24,gb14_02_01,vierge_rouge,16,8,,,NA,"Steep rock slope, about 75 degrees,  from the “red mountain” with high LC cover in <10m, mainly encrusting on boulders and rock wall and some massive Porites. Corals in spurs with sand inbetween. Reef / rock gives way to sandy slope with isolated coral heads on boulders to > 30m. Plateau at 1-2 m of small coral bommies, lots of Porites."
2014-09-24,gb14_02_02,vierge_rouge,12,3,,,NA,"45 degree slope with rock and some boulders. Live coral high at <8m, high cover of Porites, but some bare rock and dead coral, below that coral heads scattered on a sandy slope which becomes mainly sand at 13-15m. "
2014-09-25,ts14_03_01,arta_plage,13,3,,,NA,"Narrow reef slope which ends at 11-15 m on sandy slope which continues with occasional large boulders with small coral heads. Some silt. Reef slopes at 45 degrees, medium relief, medium LC, some sand patches. Mainly small Acropora, occasional large plates, mixed species, some bare rock. One end of the site with large boulders little LC, and large E. fuscoguttatus.

"
2014-09-25,ts14_03_02,arta_plage,10,2,,,NA,"Narrow reef slope to sand at 7m. Silty sand with suspended sediment in water column. Viz poor at 7m. Acropora dominated slope at 45 degrees, sand patches, some large Porites bommies in 1-3 m. "
2014-09-26,mm14_04_01,maskali_s,10,3,,,NA,"Narrow reef slope that ends at 10m on sand slope with occasional coral bommies. Some silt, visibility poor, 8 to 9m. Medium relief reef with medium LC cover:  small Acropora plates, small Porites. Very high LC in < 5m, 90% of which is Porites. Some Turbinaria < 3m."
2014-09-26,mm14_04_02,maskali_s,9,2,,,NA,"Narrow reef slope to sand at 12 m. Medium relief dominated by columnar Porites; some DC. Some patches of rubble and algae in <5m. Some silt, visibility poor, 8 to 9m."
2016-04-11,kisit_lee1,kisite_east,NA,NA,,,NA,
2016-04-11,kisit_lee2,kisite_east,NA,NA,,,NA,
